,Dataset,Inference Time (s),Acc,Precision,Recall,F-1,TN,FP,FN,TP,TNR,FNR,TPR,FPR,AUC Score
0,1,1.3886522956010774e-07,0.7347560975609756,0.8215897435897437,0.7331660159881018,0.7146827975803629,164.0,1.0,86.0,77.0,0.9939393939393939,0.5276073619631901,0.4723926380368098,0.006060606060606061,0.7331660159881018
1,2,9.84745781596114e-08,0.899390243902439,0.9126404062163409,0.8988473693995167,0.8984834416589291,163.0,2.0,31.0,132.0,0.9878787878787879,0.1901840490797546,0.8098159509202454,0.012121212121212121,0.8988473693995166
2,3,9.110497265327268e-08,0.926829268292683,0.9335475335475336,0.9264547313627068,0.9264985994397759,163.0,2.0,22.0,141.0,0.9878787878787879,0.13496932515337423,0.8650306748466258,0.012121212121212121,0.9264547313627067
3,4,9.708622606789194e-08,0.9542682926829268,0.9573408239700374,0.9540249116936234,0.954172449445319,164.0,1.0,14.0,149.0,0.9939393939393939,0.08588957055214724,0.9141104294478528,0.006060606060606061,0.9540249116936232
4,5,1.0599283183493267e-07,0.9603658536585366,0.9618972981041947,0.9601970626510503,0.9603212268408663,163.0,2.0,11.0,152.0,0.9878787878787879,0.06748466257668712,0.9325153374233128,0.012121212121212121,0.9601970626510504
5,6,8.92203755495025e-08,0.9786585365853658,0.9786925479696564,0.9786391522587842,0.9786567511038811,162.0,3.0,4.0,159.0,0.9818181818181818,0.024539877300613498,0.9754601226993865,0.01818181818181818,0.9786391522587842
6,7,1.1453294172519592e-07,0.9817073170731707,0.9818127719715848,0.9816694552890872,0.9817045961624276,163.0,2.0,4.0,159.0,0.9878787878787879,0.024539877300613498,0.9754601226993865,0.012121212121212121,0.9816694552890872
7,8,8.622349762335057e-08,0.9847560975609756,0.9847910159155139,0.9847369399516639,0.9847548222170579,163.0,2.0,3.0,160.0,0.9878787878787879,0.018404907975460124,0.9815950920245399,0.012121212121212121,0.984736939951664
8,9,9.80065363209422e-08,0.9847560975609756,0.9847910159155139,0.9847369399516639,0.9847548222170579,163.0,2.0,3.0,160.0,0.9878787878787879,0.018404907975460124,0.9815950920245399,0.012121212121212121,0.984736939951664
9,10,9.575057320478486e-08,0.9817073170731707,0.9818127719715848,0.9816694552890872,0.9817045961624276,163.0,2.0,4.0,159.0,0.9878787878787879,0.024539877300613498,0.9754601226993865,0.012121212121212121,0.9816694552890872
10,11,1.140449832125408e-07,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
11,12,1.0904829676558332e-07,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
12,13,1.1881691653554032e-07,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
13,14,1.056636978940266e-07,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
14,15,1.232272968059633e-07,0.9817073170731707,0.9817066369213608,0.9817066369213608,0.981706636921361,162.0,3.0,3.0,160.0,0.9818181818181818,0.018404907975460124,0.9815950920245399,0.01818181818181818,0.9817066369213608
